release_date,title,runtime,tagline,vote_average,vote_count,director
19-12-1997,Spice World,93.0,You say you want a revolution?,4.7,123,Bob Spiers
09-12-2011,The Sitter,81.0,Worst. Babysitter. Ever.,5.4,325,David Gordon Green
22-05-2009,Dance Flick,83.0,,4.7,71,Damien Dante Wayans
23-09-1994,The Shawshank Redemption,142.0,Fear can hold you prisoner. Hope can set you free.,8.5,8205,Frank Darabont
12-04-2001,Crocodile Dundee in Los Angeles,92.0,He heard there was wildlife in L.A. He didn't know how wild.,4.7,146,Simon Wincer
04-07-1996,Kingpin,113.0,You wouldn't want to meet these pinheads in an alley.,6.7,244,Bobby Farrelly
25-12-2014,The Gambler,111.0,The only way out is all in,5.7,543,Rupert Wyatt
26-12-2013,August: Osage County,121.0,Misery loves family,6.9,483,John Wells
17-03-2005,Ice Princess,98.0,,5.9,185,Tim Fywell
22-04-2005,A Lot Like Love,107.0,There's nothing better than a great romance... to ruin a perfectly good friendship.,6.5,318,Nigel Cole
26-02-2016,Eddie the Eagle,106.0,"Win or lose, always aim high",7.2,661,Dexter Fletcher
01-05-1998,He Got Game,136.0,"The father, the son and the holy game.",6.7,134,Spike Lee
01-10-1994,Don Juan DeMarco,97.0,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!,6.2,183,Jeremy Leven
04-02-2010,Dear John,115.0,Love brought them together. Will fate tear them apart?,6.6,1262,Lasse Hallstr\u00f6m
23-04-2010,The Losers,97.0,Anyone Else Would Be Dead By Now.,6.2,515,Sylvain White
06-11-2010,Don't Be Afraid of the Dark,99.0,Fear is never just make believe,5.4,341,Troy Nixey
24-08-2007,War,103.0,Vengeance is the ultimate weapon.,6.0,414,Philip G. Atwell
25-10-2002,Punch-Drunk Love,95.0,,6.9,530,Paul Thomas Anderson
20-02-2004,EuroTrip,93.0,No actual Europeans were harmed in the making of this film.,6.5,656,Jeff Schaffer
15-11-2002,Half Past Dead,98.0,,4.6,82,Don Michael Paul
08-12-2006,Unaccompanied Minors,90.0,"No plane, no parents, no problem!",5.4,66,Paul Feig
01-04-1988,"Bright Lights, Big City",107.0,,4.7,28,James Bridges
26-07-1996,The Adventures of Pinocchio,90.0,A new angle on the classic tale... And that's no lie!,5.0,54,Steve Barron
30-09-2005,The Greatest Game Ever Played,120.0,Based on a True Story,6.9,110,Bill Paxton
17-09-2009,The Box,115.0,All you have to do is push the button.,5.4,597,Richard Kelly
02-04-2008,The Ruins,91.0,Terror has evolved.,5.6,265,Carter Smith
03-03-2000,The Next Best Thing,108.0,Best Friends Make The Best Mistakes,4.3,29,John Schlesinger
08-10-2010,My Soul to Take,107.0,Only One Has The Power To Save Their Souls,5.2,147,Wes Craven
09-04-2004,The Girl Next Door,108.0,Matt never saw her coming... but all his friends had!,6.3,824,Luke Greenfield
13-09-1996,Maximum Risk,100.0,The Other Side of Safety.,5.2,101,Ringo Lam
13-09-2002,Stealing Harvard,85.0,Their intentions were honorable. Their methods were criminal.,4.4,46,Bruce McCulloch
09-09-2015,Legend,131.0,"Love, fight, live, rule like a legend.",6.7,973,Brian Helgeland
03-08-2007,Hot Rod,88.0,Smack destiny in the face.,6.3,313,Akiva Schaffer
02-09-2011,Shark Night,91.0,Terror runs deep.,4.9,132,David R. Ellis
25-12-1999,Angela's Ashes,145.0,,7.0,59,Alan Parker
11-04-2014,Draft Day,109.0,The greatest victories don't always happen on the field.,6.5,304,Ivan Reitman
20-06-1985,Lifeforce,116.0,"In the blink of an eye, the terror begins.",6.2,135,Tobe Hooper
10-09-2010,The Conspirator,122.0,One bullet killed the President. But not one man.,6.2,137,Robert Redford
03-06-2005,Lords of Dogtown,107.0,"They never thought they'd be famous, but they always thought they'd be friends.",7.0,210,Catherine Hardwicke
06-08-2015,The 33,120.0,Hope Runs Deep,6.0,378,Patricia Riggen
30-05-1986,Big Trouble in Little China,99.0,Adventure doesn't come any bigger!,7.1,705,John Carpenter
29-10-2012,Fly Me to the Moon,104.0,,5.6,194,Pascal Chaumeil
09-09-2011,Warrior,140.0,Fight for Family,7.7,1272,Gavin O'Connor
25-10-1996,Michael Collins,132.0,"Ireland, 1916. His Dreams Inspired Hope. His Words Ignited Passion. His Courage Forged A Nation's Destiny.",6.7,97,Neil Jordan
08-10-1993,Gettysburg,254.0,,6.6,90,Ronald F. Maxwell
28-03-2008,Stop-Loss,113.0,The bravest place to stand is by each other's side.,6.1,82,Kimberly Peirce
14-10-2002,Abandon,99.0,Watch who you leave behind.,4.6,45,Stephen Gaghan
13-08-1999,Brokedown Palace,100.0,"Their graduation present was a trip to paradise, but they never thought they would land in hell.",6.2,111,Jonathan Kaplan
30-08-2012,The Possession,92.0,Fear The Demon That Doesn't Fear God,5.8,498,Ole Bornedal
19-04-1996,Mrs. Winterbourne,105.0,The story of a girl who is going from filthy to rich,5.3,25,Richard Benjamin
16-09-2011,Straw Dogs,110.0,Everyone Has A Breaking Point,5.5,144,Rod Lurie
14-10-2006,The Hoax,116.0,Never let the truth get in the way of a good story.,6.4,60,Lasse Hallstr\u00f6m
17-05-1991,Stone Cold,92.0,A cop who enforces his own brand of justice.,5.7,34,Craig R. Baxley
25-11-2009,The Road,111.0,In a moment the world changed forever.,6.8,1087,John Hillcoat
17-08-1984,Sheena,117.0,,5.0,22,John Guillermin
02-09-2005,Underclassman,95.0,,5.5,28,Marcos Siega
12-03-2001,Say It Isn't So,95.0,,4.8,47,J.B. Rogers
12-10-2005,The World's Fastest Indian,127.0,,7.3,166,Roger Donaldson
31-03-1995,Tank Girl,98.0,"In 2033, justice rides a tank and wears lip gloss.",5.5,138,Rachel Talalay
22-04-2005,King's Ransom,95.0,,5.1,14,Jeffrey W. Byrd
14-05-2008,Blindness,121.0,,6.4,387,Fernando Meirelles
22-10-2005,BloodRayne,95.0,Revenge never tasted so sweet.,3.5,118,Uwe Boll
16-09-2011,Carnage,80.0,A new comedy of no manners,7.0,738,Roman Polanski
07-10-2005,Where the Truth Lies,107.0,,5.9,66,Atom Egoyan
09-11-2012,Cirque du Soleil: Worlds Away,91.0,Experience a Journey Like Never Before,6.1,58,Andrew Adamson
11-09-1998,Without Limits,117.0,PRE. The way he competed. The way he lived his life.,6.2,19,Robert Towne
25-11-2009,Me and Orson Welles,114.0,If you want to discover life learn from the master,6.6,49,Richard Linklater
01-01-2013,The Best Offer,124.0,A Master of Possession. A Crime of Obsession,7.7,704,Giuseppe Tornatore
11-09-2009,The Bad Lieutenant: Port of Call - New Orleans,122.0,The only criminal he can't catch is himself.,6.0,326,Werner Herzog
03-08-2010,A Turtle's Tale: Sammy's Adventures,88.0,He's Turtly Amazing,5.6,151,Ben Stassen
20-10-2010,Little White Lies,154.0,The one thing friends can't escape is a few home truths.,7.1,380,Guillaume Canet
30-06-2010,Love Ranch,117.0,When It Comes To Love... Everyone Pays A Price.,6.0,21,Taylor Hackford
01-04-2009,The True Story of Puss 'n Boots,82.0,,3.8,7,J\u00e9r\u00f4me Deschamps
18-03-2010,Space Dogs,85.0,,6.3,10,Inna Evlannikova
25-10-2013,The Counselor,117.0,Sin Is A Choice.,5.0,712,Ridley Scott
03-03-2011,Ironclad,121.0,Heavy metal goes medieval.,6.2,227,Jonathan English
26-10-1970,Waterloo,128.0,,7.0,31,Sergey Bondarchuk
31-10-2014,Kung Fu Jungle,100.0,Kung Fu is a Skill for Killing,6.5,114,Teddy Chan
12-03-2014,Red Sky,100.0,Go Rogue,4.1,26,Mario Van Peebles
16-12-1988,Dangerous Liaisons,119.0,Lust. Seduction. Revenge. The Game As You've Never Seen It Played Before.,7.0,257,Stephen Frears
22-05-2012,On the Road,137.0,The best teacher is experience.,5.5,301,Walter Salles
25-11-1986,Star Trek IV: The Voyage Home,119.0,The key to saving the future can only be found in the past.,6.9,477,Leonard Nimoy
20-12-2006,Rocky Balboa,102.0,It ain't over 'til it's over.,6.5,835,Sylvester Stallone
09-12-1997,Scream 2,120.0,Someone has taken their love of sequels one step too far.,6.1,840,Wes Craven
01-01-2016,Jane Got a Gun,98.0,,5.4,285,Gavin O'Connor
20-06-2014,Think Like a Man Too,105.0,,6.4,225,Tim Story
18-02-2000,The Whole Nine Yards,98.0,"In the heart of suburbia, a hit man with heart has just moved in.",6.2,531,Jonathan Lynn
17-02-1984,Footloose,107.0,,6.4,505,Herbert Ross
21-02-2003,Old School,91.0,"All the fun of college, none of the education.",6.6,541,Todd Phillips
09-09-1991,The Fisher King,137.0,"A Modern Day Tale About The Search For Love, Sanity, Ethel Merman And The Holy Grail.",7.2,341,Terry Gilliam
13-11-1998,I Still Know What You Did Last Summer,100.0,Someone is dying for a second chance.,5.1,374,Danny Cannon
07-04-2000,Return to Me,115.0,A comedy straight from the heart,6.1,67,Bonnie Hunt
18-09-2008,Zack and Miri Make a Porno,102.0,What would you do to get out of debt?,6.1,721,Kevin Smith
08-09-2000,Nurse Betty,108.0,She's chasing a dream... they're chasing her.,5.9,111,Neil LaBute
17-10-2009,The Men Who Stare at Goats,93.0,No goats. No glory.,5.9,742,Grant Heslov
12-01-2001,Double Take,88.0,One big shot. One big mouth. The switch is on.,5.5,24,George Gallo
21-12-1999,"Girl, Interrupted",127.0,"The crazy thing is, you're not crazy.",7.6,721,James Mangold
23-01-2004,Win a Date with Tad Hamilton!,95.0,"In every love story, there's only room for one leading man.",5.5,160,Robert Luketic
14-07-1999,Muppets from Space,87.0,Space. It's not as deep as you think.,5.8,92,Tim Hill
24-10-1978,The Wiz,134.0,From the book that's an American tradition… from the smash-hit Broadway show… the entertainment of the year!,5.9,58,Sidney Lumet
07-04-2000,Ready to Rumble,107.0,They're headed to the big time...face first.,4.7,49,Brian Robbins
25-12-1999,Play It to the Bone,124.0,,5.7,53,Ron Shelton
16-09-2011,I Don't Know How She Does It,89.0,"If it were easy, men would do it too.",5.0,141,Douglas McGrath
20-08-2010,Piranha 3D,88.0,There's something in the water.,5.3,581,Alexandre Aja
17-12-2004,Beyond the Sea,118.0,"In the era of cool, Bobby Darin was the soundtrack.",6.5,55,Kevin Spacey
27-03-1998,Meet the Deedles,93.0,Fish out of water...Surfers in Yellowstone,4.1,19,Steve Boyum
23-09-1993,The Thief and the Cobbler,72.0,,6.8,26,Richard Williams
01-01-2004,The Bridge of San Luis Rey,120.0,,5.4,15,Mary McGuckian
23-11-2010,Faster,98.0,Slow Justice is no Justice,6.1,568,"George Tillman, Jr."
19-11-2004,Howl's Moving Castle,119.0,The two lived there,8.2,1991,Hayao Miyazaki
07-10-2009,Zombieland,88.0,This place is so dead,7.2,3550,Ruben Fleischer
06-11-1998,The Waterboy,90.0,You can mess with him. But don't mess with his water.,5.9,512,Frank Coraci
17-05-1980,The Empire Strikes Back,124.0,The Adventure Continues...,8.2,5879,Irvin Kershner
07-04-1995,Bad Boys,118.0,Whatcha gonna do?,6.5,1699,Michael Bay
28-06-1991,The Naked Gun 2½: The Smell of Fear,85.0,If you see only one movie this year...you ought to get out more often,6.6,546,David Zucker
16-03-2000,Final Destination,98.0,No accidents. No coincidences. No escapes. You can't cheat death.,6.4,1378,James Wong
24-09-2011,The Ides of March,101.0,Ambition seduces. Power corrupts.,6.5,910,George Clooney
18-02-2000,Pitch Black,108.0,Don't be afraid of the dark. Be afraid of what's in the dark,6.7,1789,David Twohy
30-03-2001,Someone Like You...,97.0,The story about the one that got away and the one she never saw coming.,6.0,118,Tony Goldwyn
18-12-2013,Her,126.0,A Spike Jonze Love Story,7.9,4097,Spike Jonze
05-10-2001,Joy Ride,97.0,"It was just a joke, just for fun.",6.3,325,John Dahl
05-12-2013,The Adventurer: The Curse of the Midas Box,99.0,The new name for adventure.,5.1,73,Jonathan Newman
12-11-1999,Anywhere But Here,114.0,A story of a mother who knows best... and a daughter who knows better.,5.9,66,Wayne Wang
21-08-2000,The Crew,88.0,,6.4,11,Michael Dinner
06-11-2011,Haywire,93.0,They left her no choice.,5.6,505,Steven Soderbergh
17-07-1987,Jaws: The Revenge,89.0,"This time, it’s personal.",3.5,224,Joseph Sargent
18-12-1996,Marvin's Room,98.0,A story about the years that keep us apart... And the moments that bring us together.,6.6,124,Jerry Zaks
22-08-2008,The Longshots,94.0,,6.5,11,Fred Durst
03-12-1999,The End of the Affair,102.0,,6.6,55,Neil Jordan
23-08-1991,Harley Davidson and the Marlboro Man,98.0,When the going gets tough... the tough take the law into their own hands.,6.1,82,Simon Wincer
31-08-2007,In the Valley of Elah,124.0,Sometimes finding the truth is easier than facing it.,6.6,261,Paul Haggis
22-04-2009,Coco Before Chanel,110.0,Before she was France's famous mademoiselle...,6.6,246,Anne Fontaine
16-09-2015,Forsaken,90.0,,5.8,101,Jon Cassar
10-02-2009,Cheri,86.0,,5.9,56,Stephen Frears
01-09-2004,Vanity Fair,141.0,"On September 1st, a heroine will rise.",5.5,73,Mira Nair
18-12-2009,Bodyguards and Assassins,139.0,"To save a nations future, they must protect one man from its past.",6.5,57,Teddy Chan
12-07-2007,1408,104.0,The only demons in room 1408 are those within you.,6.5,1343,Mikael H\u00e5fstr\u00f6m
24-06-1987,Spaceballs,96.0,May the schwartz be with you,6.7,902,Mel Brooks
25-12-2014,The Water Diviner,112.0,To honour a promise. To find his sons. To make his peace.,6.8,431,Russell Crowe
12-07-1990,Ghost,127.0,A love that will last forever.,6.9,1339,Jerry Zucker
15-07-1998,There's Something About Mary,119.0,Love Is In The Hair.,6.5,1590,Bobby Farrelly
10-11-1994,The Santa Clause,97.0,What if your dad was Santa Claus?,6.3,489,John Pasquin
25-03-2002,The Rookie,127.0,Sometimes dreams come back to life.,6.5,110,John Lee Hancock
28-09-2007,The Game Plan,110.0,"Half his size, twice the trouble ... and she's moving in.",6.0,428,Andy Fickman
28-05-1995,The Bridges of Madison County,135.0,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,7.3,385,Clint Eastwood
01-06-2001,The Animal,84.0,He wasn't much of a man... Now he's not much of an animal!,4.6,304,Luke Greenfield
30-11-1982,Gandhi,191.0,His triumph changed the world forever.,7.4,716,Richard Attenborough
06-08-2014,The Hundred-Foot Journey,122.0,Life's greatest journey begins with the first step.,7.3,508,Lasse Hallstr\u00f6m
28-07-1995,The Net,114.0,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen.",5.6,354,Irwin Winkler
28-12-2001,I Am Sam,132.0,love is all you need,7.2,530,Jessie Nelson
28-02-2014,Son of God,138.0,Their Empire. His Kingdom.,5.9,83,Christopher Spencer
19-09-2003,Underworld,121.0,Underworld,6.6,2512,Len Wiseman
11-11-2005,Derailed,108.0,He never saw it coming.,6.1,319,Mikael H\u00e5fstr\u00f6m
18-09-2009,The Informant!,108.0,Based on a tattle-tale.,6.0,301,Steven Soderbergh
25-12-1993,Shadowlands,131.0,,6.8,61,Richard Attenborough
06-08-2005,Deuce Bigalow: European Gigolo,83.0,For the women of Europe... The price of love just got a lot cheaper.,4.7,225,Mike Bigelow
10-10-2013,Delivery Man,105.0,You're never quite ready for what life delivers.,6.2,551,Ken Scott
05-05-2016,Our Kind of Traitor,108.0,Who Can You Trust With The Truth?,6.0,160,Susanna White
09-02-2001,Saving Silverman,90.0,They swore nothing would come between them. Then evil walked in the door,5.4,154,Dennis Dugan
02-08-2012,Diary of a Wimpy Kid: Dog Days,94.0,School's Out for the summer,6.0,223,David Bowers
02-07-1999,Summer of Sam,142.0,No one is safe from son of sam,6.3,112,Spike Lee
22-08-2001,Jay and Silent Bob Strike Back,104.0,Hollywood had it coming,6.4,480,Kevin Smith
14-09-2001,The Glass House,106.0,The glass is about to be shattered...,5.4,201,Daniel Sackheim
05-02-2016,"Hail, Caesar!",106.0,Lights. Camera. Abduction.,5.7,1309,Joel Coen
06-04-2001,Josie and the Pussycats,98.0,"They were three small time girls, with big time dreams. Now, fate is giving the Pussycats, the chance of a lifetime.",5.3,72,Deborah Kaplan
27-11-2013,Homefront,100.0,How far would you go to protect your home?,6.4,875,Gary Fleder
27-10-2000,The Little Vampire,95.0,"They're not just best friends, they're blood brothers.",6.1,77,Uli Edel
10-09-2004,I Heart Huckabees,106.0,An existential comedy,6.2,239,David O. Russell
17-04-1993,RoboCop 3,104.0,He's back to lay down the law.,4.2,305,Fred Dekker
07-09-2001,Megiddo: The Omega Code 2,104.0,"In The Beginning, The End Had A Name.",3.6,8,Brian Trenchard-Smith
01-01-1970,Darling Lili,107.0,She gave away secrets to one side and her heart to the other.,4.9,8,Blake Edwards
27-08-1999,Dudley Do-Right,77.0,From the creator of 'George of the Jungle' comes a new kind of hero,3.8,48,Hugh Wilson
03-09-2015,The Transporter Refueled,96.0,He Delivers.,5.2,559,Camille Delamarre
16-09-2004,The Libertine,114.0,He didn't resist temptation. He pursued it.,5.9,128,Laurence Dunmore
01-09-2006,Black Book,145.0,"To fight the enemy, she must become one of them.",7.2,277,Paul Verhoeven
09-11-2005,Joyeux Noël,116.0,France 1914. A moment of humanity that made history.,7.2,212,Christian Carion
22-08-2012,Hit & Run,100.0,A Comedy That Never Takes Its Foot Off The Gas,5.5,224,Dax Shepard
17-01-2008,Mad Money,104.0,,5.9,140,Callie Khouri
03-09-2014,Before I Go to Sleep,92.0,Who do you trust?,6.2,659,Rowan Joffe
24-06-1977,Sorcerer,121.0,WANTED. Four men willing to drive a cargo of death to escape a life in hell.,7.4,98,William Friedkin
07-10-2010,Stone,105.0,Some People Tell Lies. Others Live Them.,5.2,192,John Curran
31-01-2007,Moliere,115.0,,6.7,45,Laurent Tirard
06-12-2013,Out of the Furnace,116.0,Sometimes your battles choose you.,6.5,720,Scott Cooper
28-09-2007,Michael Clayton,119.0,The truth can be adjusted,6.5,501,Tony Gilroy
20-12-1996,My Fellow Americans,101.0,"A comedy about life, liberty and the pursuit of two ex-presidents.",6.3,46,Peter Segal
19-03-1999,Arlington Road,117.0,Your Paranoia Is Real.,7.0,239,Mark Pellington
18-07-2013,Underdogs,106.0,There's only one team this summer.,6.0,122,Juan Jos\u00e9 Campanella
20-04-2012,To Rome with Love,111.0,,5.6,546,Woody Allen
13-06-1982,Firefox,136.0,...the most devastating killing machine ever built... his job... steal it!,5.5,139,Clint Eastwood
30-06-1999,"South Park: Bigger, Longer & Uncut",81.0,UH-OH.,7.1,893,Trey Parker
09-02-2007,Death at a Funeral,90.0,From director Frank Oz comes the story of a family that puts the F U in funeral.,6.9,497,Frank Oz
17-03-1993,Teenage Mutant Ninja Turtles III,96.0,The Turtles Are Back....In Time.,5.1,184,Stuart Gillard
14-09-2001,Hardball,106.0,The most important thing in life is showing up,6.3,123,Brian Robbins
08-09-2012,Silver Linings Playbook,122.0,Watch For The Signs,6.9,4742,David O. Russell
05-01-2007,Freedom Writers,123.0,Their story. Their world. Their future.,7.5,356,Richard LaGravenese
05-11-2010,For Colored Girls,134.0,Many voices. One poem.,7.0,22,Tyler Perry
02-10-2002,The Transporter,92.0,Rules are made to be broken.,6.6,1692,Louis Leterrier
04-03-2008,Never Back Down,115.0,Win or lose... Everyone has their fight.,6.4,497,Jeff Wadlow
11-03-1999,The Rage: Carrie 2,104.0,Looks Can Kill,5.1,76,Katt Shea
05-06-2009,Away We Go,98.0,,6.7,189,Sam Mendes
01-08-2008,Swing Vote,120.0,One ordinary guy is giving the candidates a reason to run.,5.8,65,Joshua Michael Stern
09-09-2002,Moonlight Mile,117.0,,6.5,52,Brad Silberling
16-09-2011,Tinker Tailor Soldier Spy,127.0,How do you find an enemy who is hidden right before your eyes?,6.6,840,Tomas Alfredson
22-10-1999,Molly,102.0,Innocence is bliss. See the world through her.,5.5,14,John Duigan
11-02-2011,The Beaver,91.0,He's here to save Walter's life.,6.3,276,Jodie Foster
23-07-1982,The Best Little Whorehouse in Texas,114.0,With Burt and Dolly this much fun just couldn't be legal!,5.9,41,Colin Higgins
14-04-1999,eXistenZ,97.0,Play it. Live it. Kill for it.,6.7,475,David Cronenberg
12-06-1981,Raiders of the Lost Ark,115.0,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,7.7,3854,Steven Spielberg
19-11-1992,Home Alone 2: Lost in New York,120.0,He's up past his bedtime in the city that never sleeps.,6.3,2395,Chris Columbus
16-11-1977,Close Encounters of the Third Kind,135.0,We are not alone.,7.2,1098,Steven Spielberg
11-08-2006,Pulse,90.0,You are now infected.,5.0,150,Jim Sonzero
18-05-1987,Beverly Hills Cop II,100.0,,6.1,613,Tony Scott
07-03-2003,Bringing Down the House,105.0,"Everything he needed to know about life, she learned in prison.",5.4,183,Adam Shankman
01-02-1991,The Silence of the Lambs,119.0,To enter the mind of a killer she must challenge the mind of a madman.,8.1,4443,Jonathan Demme
14-02-1992,Wayne's World,94.0,You'll laugh. You'll cry. You'll hurl.,6.5,728,Penelope Spheeris
15-10-2010,Jackass 3D,94.0,Don't try this at home,6.4,428,Jeff Tremaine
16-06-1978,Jaws 2,116.0,Just when you thought it was safe to go back in the water...,5.9,406,Jeannot Szwarc
03-10-2008,Beverly Hills Chihuahua,91.0,50% Warrior. 50% Lover. 100% Chihuahua.,4.9,209,Raja Gosnell
18-07-2013,The Conjuring,112.0,Based on the true case files of the Warrens,7.4,3092,James Wan
20-01-2005,Are We There Yet?,95.0,24 hours. 350 miles. His girlfriend's kids. What could possibly go wrong?,5.2,221,Brian Levant
02-07-2014,Tammy,97.0,She hit the road. The road hit back.,5.0,500,Ben Falcone
03-10-2003,School of Rock,108.0,He just landed the gig of his life: 5th grade.,6.7,1414,Richard Linklater
18-08-1995,Mortal Kombat,101.0,Nothing In This World Has Prepared You For This.,5.4,442,Paul W.S. Anderson
23-06-2004,White Chicks,109.0,They're going deep undercover.,6.3,679,Keenen Ivory Wayans
09-09-2011,The Descendants,115.0,The South Pacific ain't that terrific.,6.7,934,Alexander Payne
18-04-2003,Holes,117.0,Some secrets are too big to keep hidden.,6.7,383,Andrew Davis
31-03-2010,The Last Song,107.0,"A story about family, first love, second chances and the moment in life that lead you back home.",6.9,923,Julie Anne Robinson
18-10-2013,12 Years a Slave,134.0,The extraordinary true story of Solomon Northup,7.9,3674,Steve McQueen
13-12-2002,Drumline,118.0,Half time is game time,6.2,116,Charles Stone III
02-04-2010,Why Did I Get Married Too?,121.0,Marriage is an institution they're committed to.,6.1,29,Tyler Perry
05-12-1990,Edward Scissorhands,105.0,His scars run deep.,7.5,3601,Tim Burton
02-06-2016,Me Before You,110.0,#LiveBoldly,7.6,2562,Thea Sharrock
29-06-2012,Madea's Witness Protection,114.0,"Believe it or not, they know too much.",5.9,52,Tyler Perry
09-10-1971,The French Connection,104.0,There are no rules and no holds barred when Popeye cuts loose!,7.4,422,William Friedkin
28-07-2016,Bad Moms,100.0,Party like a mother.,6.3,1252,Jon Lucas
17-02-2006,Date Movie,83.0,An Unprotected Comedy,3.6,222,Jason Friedberg
14-02-2002,Return to Never Land,72.0,The Classic Continues,6.1,290,Robin Budd
25-12-2014,Selma,127.0,One dream can change the world.,7.4,817,Ava DuVernay
07-02-2003,The Jungle Book 2,72.0,Feel the jungle beat,5.6,269,Steve Trenbirth
04-02-2005,Boogeyman,89.0,You thought it was just a story.,4.6,191,Stephen T. Kay
08-02-2007,Premonition,96.0,Reality is only a nightmare away,5.8,381,Mennan Yapo
11-02-2000,The Tigger Movie,77.0,,6.3,143,Jun Falkenstein
24-07-2009,Orphan,123.0,Can you keep a secret?,6.7,1261,Jaume Collet-Serra
26-06-2015,Max,111.0,Best Friend. Hero. Marine.,6.8,276,Boaz Yakin
25-01-2007,Epic Movie,86.0,We know it's big. We measured.,3.2,326,Jason Friedberg
06-11-2015,Spotlight,128.0,Break the story. Break the silence.,7.8,2686,Tom McCarthy
19-09-2008,Lakeview Terrace,110.0,What Could Be Safer Than Living Next to a Cop?,5.9,292,Neil LaBute
13-10-2006,The Grudge 2,102.0,"What Was Once Trapped, Will Now Be Unleashed",5.2,283,Takashi Shimizu
14-08-1998,How Stella Got Her Groove Back,124.0,Sometimes you have to break the rules to free your heart.,6.0,24,Kevin Rodney Sullivan
19-07-1991,Bill & Ted's Bogus Journey,98.0,Once... they made history. Now... they are history.,5.9,308,Peter Hewitt
09-10-2006,Man of the Year,115.0,Elections are made to be broken.,5.8,129,Barry Levinson
18-12-1979,The Black Hole,98.0,A journey that begins where everything ends!,6.1,131,Gary Nelson
31-08-2010,The American,104.0,,5.8,481,Anton Corbijn
21-03-1997,Selena,127.0,Discover the true story of one of America's brightest stars... that faded too soon.,7.0,114,Gregory Nava
18-08-2010,Vampires Suck,82.0,Some sagas just won't die.,4.2,315,Jason Friedberg
08-09-2006,Babel,143.0,If You Want to be Understood...Listen,6.9,1055,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
10-09-2014,This Is Where I Leave You,103.0,Welcome Home. Get Uncomfortable.,6.5,505,Shawn Levy
27-11-2008,Doubt,104.0,"There is no evidence. There are no witnesses. But for one, there is no doubt.",7.0,435,John Patrick Shanley
10-10-2004,Team America: World Police,98.0,Putting The 'F' back in 'Freedom',6.6,660,Trey Parker
03-01-2013,Texas Chainsaw 3D,92.0,Evil wears many faces.,5.3,465,John Luessenhop
27-10-1995,Copycat,124.0,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",6.4,194,Jon Amiel
11-04-2013,Scary Movie 5,86.0,Evil is coming. Bring protection.,4.6,793,Malcolm D. Lee
15-10-1969,Paint Your Wagon,158.0,Stake Your Claim To The Musical Goldmine of '69!,6.2,63,Joshua Logan
26-11-2008,Milk,128.0,Never Blend In.,7.1,612,Gus Van Sant
19-02-2016,Risen,107.0,Witness the manhunt that changed the course of human history,5.7,295,Kevin Reynolds
25-10-2002,Ghost Ship,91.0,Sea Evil,5.3,531,Steve Beck
04-11-2011,A Very Harold & Kumar Christmas,108.0,Christmas comes prematurely.,6.0,328,Todd Strauss-Schulson
20-03-1998,Wild Things,108.0,They're dying to play with you.,6.3,444,John McNaughton
16-10-2009,The Stepfather,101.0,Daddy's home.,5.4,167,Nelson McCormick
11-04-2010,The Debt,113.0,Every secret comes with a price.,6.3,257,John Madden
17-03-2000,High Fidelity,113.0,"A comedy about fear of commitment, hating your job, falling in love and other pop favorites.",7.0,628,Stephen Frears
04-01-2008,One Missed Call,87.0,What will it sound like when you die?,4.7,171,Eric Valette
12-01-1996,Eye for an Eye,101.0,What do you do when justice fails?,5.8,63,John Schlesinger
28-02-2008,The Bank Job,112.0,,6.6,697,Roger Donaldson
19-03-2004,Eternal Sunshine of the Spotless Mind,108.0,You can erase someone from your mind. Getting them out of your heart is another story.,7.9,3652,Michel Gondry
24-09-2010,You Again,105.0,What doesn't kill you... is going to marry your brother.,6.0,368,Andy Fickman
10-04-2008,Street Kings,109.0,Their city. Their rules. No prisoners.,6.3,363,David Ayer
18-07-2013,The World's End,109.0,Good food. Fine ales. Total Annihilation.,6.7,1778,Edgar Wright
15-06-2007,Nancy Drew,99.0,Small Town Girl. Big Time Adventure.,5.8,143,Andrew Fleming
06-01-2009,Daybreakers,98.0,"In 2019, The Most Precious Natural Resource... Is Us.",6.0,634,Michael Spierig
11-03-2010,She's Out of My League,104.0,"When she's this hot, You get one shot.",5.9,525,Jim Field Smith
01-07-2011,Monte Carlo,109.0,She's having the time of someone else's life.,6.0,593,Thomas Bezucha
24-03-2006,Stay Alive,100.0,You die in the game - you die for real.,5.3,155,William Brent Bell
17-10-1990,Quigley Down Under,119.0,There's a price on his head. A girl on his mind. And a twinkle in his eye.,6.5,119,Simon Wincer
17-09-2010,Alpha and Omega,88.0,A Pawsome 3D Adventure,5.3,124,Ben Gluck
08-09-2006,The Covenant,97.0,Only the power of Hell can help them.,5.2,288,Renny Harlin
21-04-2006,Stick It,105.0,The world of competitive gymnastics is about to be turned on its head.,6.3,148,Jessica Bendinger
21-08-2009,Shorts,89.0,Not So TALL Tales From The Director Of 'Spy Kids',5.1,44,Robert Rodriguez
